"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"COL13A1",2.64579373622871,2.07840875610731,2.00878543822177,1.99818939869376,1.03942359626477,0.301601748779823,1.6177095007887,0.627724321536881,0.0898181300572548,0.464703042077797,1.09993657347226,0.681159274199417,1.94687228224321,-1.02201651286317,0.425118849546006,1.42748723784122,1.12686651988725,2.69588498540644
"COL14A1",5.14331939169445,2.25187898582482,4.9541684993293,5.65028597635189,3.85082489127264,3.28555172365371,0.752828573881095,5.15608782116933,2.37265061819253,4.07782393712847,2.88598477004476,2.07274254950642,2.95862772152809,1.51963051973527,2.7833209592375,2.72976221032828,0.467423019996486,5.57447253361134
"COL15A1",6.30466357683317,4.0627848562193,5.36508973308385,5.71809137161384,5.22684609555988,4.58186385778919,2.37145501999764,5.07459660100906,3.10284163327803,4.63055050961104,3.7098511203443,3.0171965986456,5.73523155289324,2.61010225057958,3.87780191399837,4.70126177917029,2.96203984249716,7.18457271745283
"COL16A1",8.34477016461247,4.61909977295625,6.28453033267438,7.30220211234839,8.60974941247232,3.34435318327,5.98603920695295,6.51017555631955,3.17942034739587,7.11846053557347,5.41483938292067,8.14530692931342,6.89302209168338,5.92830859874219,5.28452922566067,7.74439867355521,5.7861602589809,7.72555540737422
"COL17A1",9.03474682240716,6.53361685987232,8.42962808129977,9.90951949814284,10.7115737248388,8.3732283435688,10.4281454293621,8.06502462732677,9.24990232374026,9.06197583740772,7.83255131441407,8.77843203331243,10.0378765166323,7.09686636926063,4.57281999691588,10.5139485065534,9.02203531907024,8.66672871145183
"COL18A1",9.11665839587384,6.51913895681933,7.82709928878084,7.89721998947466,8.29396163389083,5.84785470381478,5.84819440486516,7.47860834138998,6.60448122124129,6.0318116379783,6.17908698466769,7.8382015329063,9.71100772967984,6.28851162527263,6.34194854434663,8.05842248978747,7.70357942030565,9.41247829031967
"COL19A1",4.48952731601713,-2.2187240138089,2.48387567417712,4.95948009155155,5.36536411756039,-0.160884680627356,-2.24423335201413,-4.04322659709209,-4.04322659709208,-0.0158023594733936,-1.97115044970197,4.65506504233803,2.9040240473593,-4.04322659709209,0.333391245307045,6.24283515512636,-2.82853413484381,3.56679919133645
"COL1A1",12.0478805284074,7.13379000040199,9.14364833405,8.85781316337288,10.7330049265668,7.98441479665222,7.23795488367689,12.3775768938146,7.53102040757638,7.59852732300409,8.0091751953468,8.26454753164526,10.3113783232187,8.11800601542084,6.78169505374252,8.73360936680949,9.76886054369808,10.9084380490534
"COL1A2",11.3270583210514,6.71393672889053,9.09050038920634,9.05317389167344,10.5742307927792,7.74611627260568,6.67637939126469,12.0208737911473,7.78034205358374,7.44272989472195,7.45545481069902,7.17751783793782,9.516083462105,6.87972815232935,6.33383506903088,8.33811831977031,8.4179092252816,10.4651479648563
"COL21A1",3.04331370429011,3.8323696782947,3.78529554981019,4.48193261920659,2.13769588312168,-0.905344934710709,1.17418589974654,2.0031400252856,0.0898181300572548,2.4682264709061,0.449825387638705,5.25959480541984,-0.109604908178306,2.80986543849309,0.669768389491013,0.80404567645235,-4.04322659709209,-0.940723645757887
